gene,dNdS,Interacting?,Pval
MMP3,0.3061941,Non-interacting,0.009943269
MMP7,0.4361791,Non-interacting,0.02764626
MMP8,0.454428,Non-interacting,9.80E-05
MMP9,0.2423674,Non-interacting,8.55E-06
MMRN1,0.3597467,Non-interacting,0.4265787
MMRN2,0.2805831,Non-interacting,0.1436314
MMS22L,0.3374626,Non-interacting,0.2086763
MMTAG2,0.1096897,Non-interacting,0.5652154
MN1,0.06330969,Non-interacting,1
MNAT1,0.1657638,Non-interacting,1
MNDA,0.9397625,Non-interacting,0.01911537
MNS1,0.3821313,Non-interacting,0.3091069
MNT,0.1402737,Non-interacting,1
MNX1,0.1156239,Non-interacting,0.03524273
MOAP1,0.4336477,Non-interacting,0.1472907
MOB1A,0.1711848,Non-interacting,0.001525134
MOB1B,0.01359009,Non-interacting,0.1573895
MOB2,0.0550597,Non-interacting,0.1954611
MOB3A,0.01253953,Non-interacting,1
MOB3B,0.01569565,Non-interacting,0.2756392
MOB3C,0.0113615,Non-interacting,1
MOB4,0.3104346,Non-interacting,0.1584564
MOBP,0.3791288,Non-interacting,0.0350603
MOCOS,0.3688243,Non-interacting,0.01742331
MOCS1,0.2268232,Non-interacting,0.1523262
MOCS3,0.2211478,Non-interacting,0.09894132
MOG,0.2717984,Interacting,1
MOGAT1,0.4899412,Non-interacting,0.000170988
MOGAT2,0.1425595,Non-interacting,0.7028481
MOGAT3,0.302747,Non-interacting,0.575516
MOGS,0.2427524,Non-interacting,0.3992016
MOK,0.2877232,Interacting,0.3858968
MON1A,0.1517978,Non-interacting,0.9429567
MON1B,0.1329378,Non-interacting,1
MON2,0.0655479,Non-interacting,1
MORC1,0.5830112,Non-interacting,1.15E-05
MORC2,0.1346734,Non-interacting,0.01437243
MORC3,0.2007942,Non-interacting,1
MORC4,0.3559472,Non-interacting,0.021536
MORF4L1,0.1437886,Non-interacting,0.6250858
MORN1,0.4289485,Non-interacting,3.62E-12
MORN2,0.1850897,Non-interacting,1
MORN3,0.2269046,Non-interacting,1
MORN4,0.02824658,Non-interacting,1
MORN5,0.2145776,Non-interacting,1
MOS,0.3670023,Interacting,0.02994334
MOSPD1,0.2114789,Non-interacting,0.005202943
MOSPD2,0.179839,Non-interacting,0.02503907
MOSPD3,0.1456615,Non-interacting,1
MOV10,0.1344141,Non-interacting,0.8977418
MOV10L1,0.3213584,Non-interacting,0.0135683
MOXD1,0.1306947,Non-interacting,0.9929534
MP68,0.6142069,Non-interacting,0.06926909
MPC1,0.1076588,Non-interacting,1
MPC1L,0.4000303,Non-interacting,0.9288813
MPC2,0.1949444,Non-interacting,0.5666465
MPDU1,1.689353,Non-interacting,1.39E-44
MPDZ,0.1863988,Non-interacting,1.37E-06
MPG,0.3348059,Non-interacting,0.000202542
MPHOSPH10,0.3393985,Non-interacting,0.003081229
MPHOSPH8,0.2361275,Interacting,0.2773206
MPHOSPH9,0.3108767,Non-interacting,0.1917454
MPI,0.4158115,Non-interacting,5.98E-06
MPIG6B,0.5506473,Non-interacting,0.001987604
MPL,0.4076912,Non-interacting,0.3576557
MPLKIP,0.2434775,Non-interacting,1
MPO,0.1831062,Non-interacting,0.007271153
MPP1,0.09363279,Interacting,1
MPP2,0.04541484,Non-interacting,0.2567062
MPP5,0.06945604,Interacting,0.5642844
MPP7,0.1983497,Interacting,1
MPPE1,0.3744394,Non-interacting,0.1557738
MPPED1,0.05542561,Non-interacting,1
MPPED2,0.02911111,Non-interacting,1
MPST,0.08340268,Non-interacting,1
MPV17,0.2642743,Non-interacting,0.009310921
MPV17L,0.3930737,Non-interacting,1
MPV17L2,0.1175411,Non-interacting,1
MPZ,0.1460688,Interacting,1
MPZL2,0.2439814,Interacting,0.000385991
MPZL3,0.2743077,Interacting,0.07016663
MRAP,0.477345,Non-interacting,0.1095185
MRAP2,0.2649175,Non-interacting,1
MRAS,0.01211483,Interacting,1
MRC2,0.1041235,Interacting,0.009503865
MRE11,0.1930993,Non-interacting,0.000323678
MREG,0.3297103,Non-interacting,0.01622826
MRFAP1,0.04240945,Non-interacting,0.5757719
MRFAP1L1,0.02354688,Non-interacting,1
MRGBP,0.1120051,Non-interacting,0.3527131
MRGPRD,0.4835177,Non-interacting,0.001266102
MRGPRE,0.1249421,Non-interacting,0.1712009
MRGPRG,0.1875509,Non-interacting,1
MRGPRX1,0.9115016,Non-interacting,9.85E-10
MRGPRX2,0.8110729,Non-interacting,4.18E-06
MRGPRX3,0.7047788,Non-interacting,0.000121995
MRGPRX4,0.9932163,Non-interacting,3.73E-09
MRI,0.3406266,Non-interacting,0.2539825
MRI1,0.1973929,Non-interacting,1
MRM1,0.3374886,Non-interacting,0.05975938
MRM2,0.2937284,Non-interacting,0.1846797
MRM3,0.2747494,Non-interacting,0.1185736
MRNIP,0.6596991,Non-interacting,0.01204014
MRO,0.3157778,Non-interacting,0.2734968
MROH2A,0.2248255,Non-interacting,0.03571075
MROH2B,0.3720971,Non-interacting,3.00E-05
MROH5,0.2770129,Non-interacting,0.001010684
MROH6,0.2834887,Non-interacting,0.000562444
MROH7,0.3907777,Non-interacting,9.82E-05
MROH8,0.7187113,Non-interacting,2.72E-06
MROH9,1.049921,Non-interacting,5.99E-21
MRPL10,0.6318135,Non-interacting,4.00E-12
MRPL11,0.2170725,Non-interacting,1
MRPL12,0.1772994,Non-interacting,0.7635222
MRPL13,0.2107676,Non-interacting,0.4791646
MRPL14,0.3453241,Non-interacting,0.02644039
MRPL15,0.1084274,Non-interacting,0.524463
MRPL16,0.2213054,Non-interacting,0.2690144
MRPL17,0.2733584,Non-interacting,0.2898375
MRPL18,0.3874469,Non-interacting,1
MRPL2,0.3119836,Non-interacting,0.002522259
MRPL21,0.2893005,Non-interacting,1
MRPL22,0.3681753,Non-interacting,0.04104103
MRPL23,0.2390544,Non-interacting,0.08917652
MRPL24,0.4961667,Non-interacting,0.02502242
MRPL27,0.05889844,Non-interacting,0.1662669
MRPL28,0.06294091,Non-interacting,0.2995555
MRPL32,0.4312927,Non-interacting,0.1445584
MRPL34,0.1553804,Non-interacting,1
MRPL35,0.3574385,Non-interacting,0.08994575
MRPL37,0.3913178,Non-interacting,0.000413417
MRPL38,0.2235753,Non-interacting,1
MRPL39,0.3034985,Non-interacting,0.003979004
MRPL4,0.2347326,Non-interacting,0.01773108
MRPL40,0.4747716,Non-interacting,0.01687925
MRPL41,0.05889922,Non-interacting,0.1582558
MRPL44,0.2711933,Interacting,0.18398
MRPL46,0.2897097,Interacting,0.2747072
MRPL48,0.482722,Non-interacting,0.005787962
MRPL49,0.272759,Non-interacting,0.536825
MRPL50,0.3944051,Non-interacting,0.7372302
MRPL51,0.9937576,Non-interacting,0.07006248
MRPL52,0.5160325,Non-interacting,0.1026267
MRPL54,0.2147754,Non-interacting,0.7291169
MRPL55,0.292925,Non-interacting,0.000234647
MRPL57,0.1660098,Non-interacting,0.3532667
MRPL58,0.306734,Non-interacting,0.2095897
MRPL9,0.4934291,Non-interacting,3.90E-08
MRPS10,0.2911087,Non-interacting,1
MRPS11,0.3404508,Non-interacting,0.01913701
MRPS12,0.1453913,Non-interacting,1
MRPS17,0.4402077,Non-interacting,0.7057807
MRPS18A,0.3344682,Non-interacting,0.5366425
MRPS18B,0.3391133,Non-interacting,0.1524662
MRPS2,0.1812601,Non-interacting,0.1750656
MRPS22,0.4349528,Non-interacting,0.008809605
MRPS23,0.4384324,Non-interacting,0.1576148
MRPS25,0.3168408,Non-interacting,0.000120941
MRPS26,0.2782386,Non-interacting,1
MRPS27,0.4368193,Non-interacting,0.2896301
MRPS30,0.3886259,Non-interacting,6.02E-05
MRPS31,0.5285703,Non-interacting,0.03726131
MRPS33,0.3466415,Non-interacting,0.03587674
MRPS34,0.1250963,Non-interacting,1
MRPS35,0.4104199,Non-interacting,0.02339913
MRPS5,0.3651608,Non-interacting,0.06832645
MRPS6,0.3425138,Non-interacting,1
MRPS7,0.3286652,Non-interacting,0.1387983
MRRF,0.3358053,Non-interacting,1
MRS2,0.2997,Non-interacting,0.7610778
MRTO4,0.153979,Non-interacting,0.02046086
MRVI1,0.3199753,Non-interacting,0.8934675
MS4A1,0.3806835,Non-interacting,0.007115449
MS4A10,0.7112579,Non-interacting,0.000719632
MS4A12,1.560228,Non-interacting,7.70E-17
MS4A13,1.208947,Non-interacting,4.07E-05
MS4A14,1.068073,Non-interacting,3.05E-06
MS4A15,0.2334008,Non-interacting,1
MS4A18,1.099186,Non-interacting,2.58E-06
MS4A2,0.3858685,Non-interacting,0.007097789
MS4A3,0.8195305,Non-interacting,1.69E-05
MS4A4A,0.8193925,Non-interacting,6.00E-07
MS4A4E,0.900242,Non-interacting,4.77E-07
MS4A5,0.9207892,Non-interacting,0.006506411
MS4A6A,0.8329076,Non-interacting,0.000331746
MS4A6E,0.9979384,Non-interacting,0.000115333
MS4A7,0.8193925,Non-interacting,6.00E-07
MS4A8,0.8521031,Non-interacting,0.04430973
MSANTD1,0.1168225,Non-interacting,0.01823376
MSANTD3,0.08321538,Non-interacting,1
MSANTD4,0.02206364,Non-interacting,0.755753
MSC,0.07844444,Non-interacting,0.3572526
MSGN1,0.1799101,Non-interacting,0.03541827
MSH3,0.2691237,Non-interacting,0.004140208
MSH4,0.2354524,Non-interacting,0.2373111
MSH5,0.2183576,Interacting,0.2222851
MSI1,0.136,Non-interacting,0.3279297
MSI2,0.02310492,Non-interacting,1
MSL1,0.04508407,Non-interacting,1
MSL2,0.03205169,Non-interacting,1
MSL3,0.111112,Non-interacting,0.3769076
MSLN,0.3596276,Non-interacting,0.004385545
MSLNL,0.4937704,Non-interacting,1.82E-25
MSMB,1.422035,Non-interacting,3.82E-06
MSMO1,0.09959524,Non-interacting,0.531749
MSMP,0.1848309,Non-interacting,1
MSN,0.01804647,Interacting,0.00029788
MSR1,0.3762383,Non-interacting,0.03517549
MSRA,0.2162489,Non-interacting,0.4178678
MSRB1,0.271757,Non-interacting,1
MSRB2,0.1430634,Non-interacting,0.131346
MSRB3,0.9773952,Non-interacting,1.77E-14
MSS51,0.2976641,Non-interacting,0.2419528
MST1,0.1740661,Non-interacting,0.03132779
MSTN,0.1153784,Non-interacting,0.6093052
MSX1,0.3877744,Interacting,0.02002601
MSX2,0.09459535,Interacting,0.9340386
MT1A,0.1470968,Non-interacting,1
MT1E,0.8802581,Non-interacting,0.01752763
MT1F,0.2425574,Non-interacting,1
MT1X,0.1040769,Non-interacting,0.8395341
MT3,0.09897059,Non-interacting,1
MT4,0.2595161,Non-interacting,0.227342
MTA3,0.1993252,Non-interacting,1
MT-ATP8,0.6930896,Non-interacting,0.04935393
MTBP,0.2661161,Non-interacting,0.07531413
MTCH2,0.2367987,Non-interacting,1
MTCL1,0.1817469,Non-interacting,1.49E-06
MT-CO1,0.01897276,Interacting,1
MT-CO2,0.02930263,Interacting,0.8894075
MT-CO3,0.04262595,Interacting,1
MTCP1,0.2613084,Non-interacting,1
MT-CYB,0.049,Interacting,1
MTDH,0.2723612,Non-interacting,0.1120225
MTERF1,0.5300352,Non-interacting,0.000429223
MTERF2,0.3630052,Non-interacting,0.8966395
MTERF4,0.5953969,Non-interacting,0.02022665
MTF1,0.1305651,Interacting,0.01959835
MTF2,0.08704049,Non-interacting,1
MTFMT,0.3848531,Non-interacting,0.002130691
MTFP1,0.170531,Non-interacting,1
MTFR1,0.3916607,Non-interacting,1
MTFR1L,0.2064517,Non-interacting,2.83E-06
MTFR2,0.4585937,Non-interacting,0.01581174
MTG2,0.2167761,Non-interacting,0.3436434
MTHFD1L,0.2056283,Non-interacting,1
MTHFD2,0.1749506,Non-interacting,0.2004776
MTHFD2L,0.1394602,Non-interacting,1
MTHFR,0.09869277,Non-interacting,0.1016813
MTHFS,0.2383814,Non-interacting,0.6602616
MTHFSD,0.2897711,Non-interacting,0.5785159
MTIF2,0.3971326,Non-interacting,4.92E-05
MTIF3,0.6041906,Non-interacting,0.008810246
MTM1,0.09051078,Non-interacting,1
MTMR1,0.06416492,Non-interacting,1
MTMR11,0.2868011,Non-interacting,0.01167185
MTMR12,0.1819303,Non-interacting,0.001178715
MTMR14,0.1301514,Non-interacting,1
MTMR2,0.05779092,Non-interacting,0.04967948
MTMR3,0.2214386,Non-interacting,0.3541863
MTMR4,0.1965871,Non-interacting,0.2027806
MTMR6,0.1134698,Non-interacting,0.2723214
MTMR7,0.08995342,Non-interacting,0.002811249
MTMR8,0.2734184,Non-interacting,0.4430617
MTMR9,0.08132473,Non-interacting,1
MT-ND1,0.05754717,Non-interacting,0.7530233
MT-ND2,0.1012017,Non-interacting,0.08489991
MT-ND3,0.101027,Non-interacting,1
MT-ND4,0.07203696,Non-interacting,0.1549273
MT-ND5,0.1159497,Non-interacting,4.26E-05
MT-ND6,0.0867069,Non-interacting,0.0435731
MTNR1A,0.1508714,Non-interacting,0.4602585
MTNR1B,0.2070665,Non-interacting,0.2324154
MTO1,0.2233585,Non-interacting,0.01633755
MTOR,0.02585115,Non-interacting,0.000937362
MTPAP,0.4991215,Non-interacting,5.50E-11
MTPN,0.01608421,Interacting,1
MTR,0.2006282,Non-interacting,0.000874945
MTRF1,0.3273928,Non-interacting,0.1869223
MTRF1L,0.2790078,Non-interacting,0.2473577
MTRNR2L10,0.5031667,Non-interacting,0.430099
MTRNR2L3,0.3925833,Non-interacting,0.4211737
MTRR,0.3096404,Non-interacting,0.0472149
MTSS1,0.04385962,Interacting,1
MTSS1L,0.04725134,Interacting,1
MTURN,0.03865686,Non-interacting,1
MTUS1,0.4052143,Non-interacting,1
MTUS2,0.4858846,Non-interacting,1.58E-06
MTX2,0.07241296,Non-interacting,1
MTX3,0.2363487,Non-interacting,0.03145146
MUC1,0.823703,Interacting,1.48E-09
MUC12,0.8780089,Non-interacting,1.37E-06
MUC13,1.110846,Non-interacting,1.12E-15
MUC15,0.5191254,Interacting,0.2811969
MUC16,0.5532019,Non-interacting,7.42E-10
MUC17,1.273287,Non-interacting,8.91E-51
MUC20,0.9799022,Non-interacting,3.78E-09
MUC21,1.324064,Non-interacting,3.22E-15
MUC22,1.639712,Non-interacting,1.71E-58
MUC3A,0.7662329,Non-interacting,1.57E-05
MUC4,0.4025615,Non-interacting,0.000755884
MUC5AC,4.820813,Non-interacting,6.03E-14
MUC5B,0.3092311,Non-interacting,1.51E-18
MUC6,0.4386781,Non-interacting,2.70E-20
MUC7,2.196733,Non-interacting,2.65E-19
MUCL1,0.4568551,Non-interacting,0.0104945
MUL1,0.08328966,Interacting,0.3894835
MUSK,0.1916678,Interacting,8.83E-06
MUT,0.1040727,Non-interacting,0.02029863
MUTYH,0.3795981,Non-interacting,0.119873
MVB12A,0.1209631,Non-interacting,1
MVB12B,0.04693728,Non-interacting,0.6845309
MVD,0.1634347,Non-interacting,0.9358408
MVK,0.2171561,Non-interacting,0.438649
MX1,0.334705,Non-interacting,4.67E-05
MX2,0.493169,Interacting,1.03E-05
MXD1,0.0561991,Non-interacting,1
MXD4,0.24957,Non-interacting,0.1717041
MXI1,0.0658488,Non-interacting,1
MXRA7,0.894043,Non-interacting,1.99E-16
MXRA8,0.1007208,Interacting,1
MYADM,0.08313622,Non-interacting,0.5678495
MYADML2,0.1543168,Non-interacting,3.88E-05
MYB,0.2356157,Non-interacting,0.6176559
MYBBP1A,0.9876027,Interacting,3.50E-29
MYBPC1,0.1703828,Interacting,0.004549677
MYBPC2,0.1163245,Interacting,1
MYBPC3,0.1292732,Interacting,1.58E-06
MYBPH,0.1866143,Interacting,0.02736807
MYBPHL,0.1597736,Interacting,1
MYCBP,1,Non-interacting,1
MYCBP2,0.03380121,Non-interacting,0.1640998
MYCBPAP,0.4694152,Non-interacting,5.80E-06
MYCN,0.2026787,Non-interacting,0.04071028
MYCT1,0.2957319,Non-interacting,0.1678712
MYD88,0.1539383,Non-interacting,1
MYDGF,0.1426936,Non-interacting,0.988274
MYEF2,0.1440083,Non-interacting,0.000808907
MYEOV,1.714566,Non-interacting,0.000121139
MYF5,0.08416471,Non-interacting,0.1209739
MYF6,0.03758091,Non-interacting,0.1992305
MYH1,0.08898246,Non-interacting,0.005737221
MYH10,0.02251366,Non-interacting,0.001109157
MYH11,0.08253199,Interacting,3.22E-08
MYH13,0.07444463,Non-interacting,0.708277
MYH14,0.03524031,Non-interacting,0.4912789
MYH15,0.4468595,Non-interacting,0.002349257
MYH2,0.07001186,Interacting,0.06473698
MYH3,0.03269617,Non-interacting,0.1063294
MYH4,0.1111376,Non-interacting,0.04358858
MYH6,0.1194584,Non-interacting,1.49E-12
MYH7,0.01870232,Non-interacting,0.006819012
MYH7B,0.03524031,Non-interacting,0.4912789
MYH8,0.06579804,Non-interacting,0.5936202
MYL1,0.2556791,Non-interacting,0.2211928
MYL10,0.1791402,Non-interacting,0.01679169
MYL2,0.06489051,Non-interacting,1
MYL3,0.03360526,Non-interacting,1
MYL4,0.05664103,Non-interacting,0.2484096
MYL5,0.06031977,Non-interacting,0.1391149
MYL6B,0.1805314,Non-interacting,0.5458921
MYL7,0.04051724,Non-interacting,1
MYLK,0.2017873,Interacting,1.97E-12
MYLK2,0.2346644,Interacting,1
MYLK3,0.5513371,Interacting,1.16E-06
MYLK4,0.2325943,Interacting,1
MYLPF,0.05322892,Non-interacting,0.04783123
MYNN,0.1021987,Interacting,1
MYO10,0.05422493,Non-interacting,2.33E-05
MYO15A,0.1768728,Non-interacting,0.00199549
MYO16,0.2003355,Interacting,0.1526859
MYO18A,0.1651262,Non-interacting,1.25E-41
MYO18B,0.2847623,Non-interacting,0.001836911
MYO19,0.2898189,Non-interacting,0.01227059
MYO1A,0.2090556,Non-interacting,0.1527819
MYO1B,0.0215241,Non-interacting,0.3772782
MYO1C,0.05850874,Non-interacting,0.1273524
MYO1D,0.06490122,Non-interacting,0.0400002
MYO1E,0.07802663,Interacting,1
MYO1F,0.09807377,Non-interacting,2.23E-12
MYO1G,0.08856917,Non-interacting,0.01047412
MYO1H,0.247572,Non-interacting,8.80E-12
MYO3B,0.2617256,Interacting,9.33E-05
MYO5A,0.09930548,Non-interacting,0.6333017
MYO5B,0.1208828,Non-interacting,0.000114842
MYO5C,0.1490629,Non-interacting,0.3116033
MYO6,0.05458521,Interacting,0.08154602
MYO7A,0.04088482,Non-interacting,0.002396116
MYO7B,0.1550808,Interacting,0.000169171
MYO9A,0.2554026,Non-interacting,0.007643427
MYO9B,0.1131197,Non-interacting,4.89E-06
MYOC,0.185992,Non-interacting,0.9005837
MYOCD,0.1995766,Non-interacting,1
MYOF,0.1159594,Non-interacting,0.006024653
MYOM1,0.1797176,Interacting,0.8435676
MYOM2,0.09043034,Interacting,0.02974741
MYOM3,0.156501,Interacting,1
MYOT,0.1951925,Interacting,0.9344917
MYOZ1,0.388406,Non-interacting,1
MYOZ2,0.2957061,Non-interacting,0.2670002
MYOZ3,0.2360212,Non-interacting,1
MYPN,0.1899247,Interacting,1
MYPOP,0.2518733,Non-interacting,0.04409804
MYRF,0.1335314,Non-interacting,0.09958457
MYRFL,0.4399704,Non-interacting,0.02212874
MYRIP,0.237593,Non-interacting,0.646711
MYSM1,0.2935969,Non-interacting,0.3645471
MYT1,0.1617315,Non-interacting,1
MYT1L,0.08037046,Non-interacting,1
MYZAP,0.3153685,Non-interacting,0.002503429
MZB1,0.3516915,Non-interacting,0.07258907
MZF1,0.1964687,Interacting,0.3920579
MZT2A,0.2215732,Non-interacting,0.004702852
MZT2B,0.3021422,Non-interacting,0.04284519
N4BP1,0.2815201,Non-interacting,0.3907458
N4BP2,0.378056,Non-interacting,0.7285837
N4BP2L1,0.2646542,Non-interacting,0.5054792
N4BP2L2,0.8331221,Non-interacting,2.75E-36
N4BP3,0.1050803,Non-interacting,0.02053541
N6AMT1,0.2889244,Non-interacting,0.8258641
NAA10,0.03994872,Non-interacting,0.4573509
NAA11,0.1132406,Non-interacting,0.8689416
NAA15,0.08404717,Non-interacting,0.4297985
NAA20,0.02859412,Non-interacting,1
NAA25,0.1344845,Non-interacting,0.479097
NAA30,0.2623518,Non-interacting,0.3652492
NAA35,0.07464315,Non-interacting,0.4337197
NAA40,0.04629258,Non-interacting,0.8796861
NAA50,0.09421557,Interacting,1
NAA60,0.2607025,Interacting,1
NAAA,0.285827,Non-interacting,0.01160795
NAALAD2,0.3003148,Non-interacting,1
NAALADL1,0.2614017,Non-interacting,4.56E-07
NAALADL2,0.3222321,Non-interacting,1
NAB2,0.1270772,Non-interacting,0.01578663
NABP1,0.5123015,Non-interacting,0.08772178
NABP2,0.258433,Non-interacting,0.02857475
NACA2,0.4088824,Non-interacting,0.7159031
NACAD,0.6561053,Non-interacting,6.70E-06
NACC1,0.06745143,Interacting,0.009823708
NACC2,0.09646758,Interacting,0.2652234
NADK,0.1043725,Non-interacting,0.04517989
NADSYN1,0.1056609,Non-interacting,1
NAE1,0.2273226,Non-interacting,2.48E-06
NAGA,0.2008467,Non-interacting,0.6021389
NAGK,0.1440638,Interacting,1
NAGLU,0.1816627,Non-interacting,0.04783054
NAGS,0.1153066,Non-interacting,1
NAIF1,0.04027778,Non-interacting,0.5249107
NAIP,0.5047249,Non-interacting,0.6005362
NALCN,0.02208661,Non-interacting,0.2176758
NANOGNB,0.6775838,Non-interacting,0.005852085
NANOS1,0.1446517,Non-interacting,0.09342112
NANOS2,0.1276259,Non-interacting,0.2968619
NANOS3,0.2117447,Non-interacting,0.7030115
NANS,0.08346459,Non-interacting,1
NAP1L2,0.1814481,Non-interacting,1
NAP1L3,0.4122028,Non-interacting,0.5360095
NAP1L4,0.1306684,Non-interacting,1
NAP1L5,0.2699011,Non-interacting,0.001603898
NAPA,0.5674224,Non-interacting,3.89E-07
NAPEPLD,0.3143383,Non-interacting,0.00060058
NAPG,0.1059728,Non-interacting,0.008748482
NAPRT,0.1388643,Non-interacting,0.896737
NAPSA,0.5699833,Non-interacting,3.77E-07
NARFL,0.1528097,Non-interacting,0.2155795
NARS,0.1069909,Non-interacting,0.05298582
NARS2,0.3192713,Non-interacting,0.6926253
NAT10,0.07059766,Non-interacting,0.002995479
NAT14,0.04814213,Non-interacting,1
NAT16,0.1951143,Non-interacting,0.001146451
NAT6,0.634785,Non-interacting,0.0262799
NAT8,0.8088106,Non-interacting,6.35E-12
NAT8L,0.4425392,Non-interacting,8.84E-07
NAT9,0.2393707,Non-interacting,0.6694928
NATD1,0.1016182,Non-interacting,1
NAV1,0.04656829,Non-interacting,1
NAV2,0.0774729,Non-interacting,0.9057325
NAXD,0.4708724,Non-interacting,3.94E-12
NAXE,0.2557163,Non-interacting,9.76E-05
NBAS,0.2199911,Non-interacting,0.000285905
NBEAL1,0.1820858,Non-interacting,0.007816691
NBL1,0.0809537,Non-interacting,0.4105498
NBPF3,0.9585811,Non-interacting,1.66E-07
NBR1,0.3518358,Interacting,0.3527962
NCALD,0.1135078,Non-interacting,7.19E-07
NCAM1,0.06443923,Interacting,0.002366195
NCAM2,0.08876829,Interacting,1
NCAN,0.389021,Interacting,0.09589544
NCAPD2,0.2387464,Non-interacting,0.0708962
NCAPD3,0.3268478,Non-interacting,0.01452661
NCAPG,0.2409217,Non-interacting,0.4732876
NCAPG2,0.1815026,Non-interacting,0.6247368
NCAPH,0.2823251,Non-interacting,0.7999036
NCAPH2,0.2210479,Non-interacting,0.116194
NCBP2,0.02121019,Interacting,1
NCBP2-AS2,0.12598,Non-interacting,1
NCBP2L,0.3170392,Non-interacting,0.1864429
NCCRP1,0.1114491,Non-interacting,0.04509787
NCDN,0.01941541,Non-interacting,1
NCEH1,0.1641149,Interacting,1
NCF1,0.08767519,Interacting,0.000526247
NCF2,0.2048641,Interacting,0.1171548
NCF4,0.1825472,Interacting,1
NCK2,0.009519685,Interacting,0.1345419
NCKAP1,0.01101461,Non-interacting,0.006414149
NCKAP1L,0.1047119,Non-interacting,0.7316544
NCKAP5,0.3877107,Non-interacting,0.002524168
NCKAP5L,0.1963812,Non-interacting,1
NCKIPSD,0.1435886,Interacting,0.08721723
NCLN,0.04182534,Non-interacting,1
NCMAP,0.4145323,Non-interacting,0.6468677
NCOA1,0.128325,Non-interacting,0.5842726
NCOA2,0.08051139,Non-interacting,0.0145773
NCOA3,0.1864391,Non-interacting,1
NCOA4,0.4479679,Non-interacting,0.000219
NCOA5,0.1817768,Non-interacting,1
NCOA6,0.2185007,Interacting,0.06565743
NCOA7,0.2199226,Non-interacting,0.02749886
NCR2,0.8495302,Interacting,0.003313308
NCR3,0.6148173,Non-interacting,0.4168256
NCR3LG1,1.281614,Interacting,8.71E-11
NCS1,0.0020375,Non-interacting,1
NCSTN,0.1684144,Non-interacting,1
NDC1,0.256696,Non-interacting,0.5022932
NDC80,0.1823896,Non-interacting,0.525837
NDEL1,0.04336709,Non-interacting,1
NDFIP1,0.07652451,Non-interacting,0.07494608
NDFIP2,0.321244,Non-interacting,0.4421061
NDNF,0.1082655,Non-interacting,1
NDOR1,0.1994523,Non-interacting,0.3269441
NDP,0.2732632,Non-interacting,0.975829
NDRG2,0.1042682,Interacting,1
NDRG4,0.03244744,Non-interacting,0.01755296
NDST1,0.0268776,Non-interacting,0.3618259
NDST2,0.09913623,Non-interacting,0.169625
NDST3,0.1196601,Non-interacting,0.01596477
NDST4,0.09929744,Non-interacting,1
NDUFA10,0.363296,Non-interacting,0.1615052
NDUFA11,0.5047279,Non-interacting,0.0014721
NDUFA12,0.3926552,Non-interacting,0.6376021
NDUFA13,0.1412,Non-interacting,1
NDUFA2,0.2401633,Non-interacting,0.2244912
NDUFA4L2,0.1950851,Non-interacting,1
NDUFA5,0.6411651,Non-interacting,0.005538205
NDUFA6,0.3735714,Non-interacting,0.1585726
NDUFA7,0.2948421,Non-interacting,1
NDUFA8,0.3550349,Non-interacting,0.003930368
NDUFA9,0.4338814,Interacting,0.697955
NDUFAF2,0.5099274,Non-interacting,0.2963529
NDUFAF3,0.352521,Non-interacting,0.8582297
NDUFAF4,0.55376,Non-interacting,0.001861968
NDUFAF5,0.219617,Non-interacting,0.3466202
NDUFAF6,0.2880736,Non-interacting,0.502017
NDUFAF7,0.2674186,Non-interacting,1
NDUFAF8,0.1571667,Non-interacting,1
NDUFB1,0.4675143,Non-interacting,0.2541577
NDUFB10,0.1840462,Non-interacting,0.4324532
NDUFB2,0.5504889,Non-interacting,0.006381031
NDUFB3,0.2108772,Non-interacting,0.3972364
NDUFB4,0.7728217,Non-interacting,0.000120783
NDUFB5,0.4330632,Non-interacting,0.1546709
NDUFB6,0.6699398,Non-interacting,0.01210324
NDUFB7,0.167193,Non-interacting,1
NDUFC1,0.2499524,Non-interacting,1
NDUFC2,0.9591917,Non-interacting,0.000526482
NDUFC2-KCTD14,1.024775,Non-interacting,0.000507876
NDUFS1,0.09934545,Non-interacting,0.01544765
NDUFS3,0.3015344,Non-interacting,0.02887897
NDUFS4,0.5056491,Non-interacting,1
NDUFS6,0.3158305,Non-interacting,1
NDUFS7,0.1896368,Non-interacting,0.02459702
NDUFV1,0.03808,Non-interacting,0.2869318
NDUFV2,0.2550179,Non-interacting,0.01354036
NEB,0.1711399,Interacting,6.24E-93
NEBL,0.211984,Interacting,0.1561183
NECAB1,0.1050507,Non-interacting,0.3693994
NECAB2,0.2587025,Non-interacting,1.35E-07
NECAB3,0.3613639,Non-interacting,2.07E-06
NECAP1,0.06983203,Non-interacting,1
NECAP2,0.3970635,Non-interacting,9.75E-08
NEDD1,0.2076227,Non-interacting,1
NEDD4,0.2830152,Interacting,7.18E-20
NEDD9,0.1322995,Interacting,0.3471363
NEFH,0.264832,Non-interacting,0.001653361
NEFL,0.03410866,Non-interacting,1
NEFM,0.2080447,Non-interacting,0.006133728
NEIL1,0.2401195,Non-interacting,0.1303595
NEIL2,0.4539415,Non-interacting,0.03747428
NEIL3,0.4087759,Non-interacting,0.03492304
NEK1,0.3102925,Interacting,0.3968382
