gene,Pval corrected,Int?
FAM129C,0.212045268,Non-interacting
DUS4L,0.212241105,Non-interacting
AEBP1,0.212609648,Interacting
HAUS5,0.212639687,Non-interacting
DARS2,0.212740053,Interacting
RIPPLY1,0.212946091,Non-interacting
CRNKL1,0.213080303,Interacting
TBL3,0.213335404,Non-interacting
ARMC5,0.213339787,Non-interacting
PLAC8L1,0.213411275,Non-interacting
RBM27,0.213411275,Interacting
PAX9,0.213482885,Non-interacting
SSBP1,0.213570057,Non-interacting
INPP5E,0.213713207,Non-interacting
SMKR1,0.214184044,Non-interacting
SLC35A1,0.214246167,Non-interacting
LAMP1,0.214267327,Non-interacting
SERINC4,0.214267327,Non-interacting
FAAP100,0.214482526,Non-interacting
HIST1H2AC,0.214482526,Interacting
FAM169A,0.214666489,Non-interacting
KANSL1L,0.214666489,Non-interacting
METTL14,0.214666489,Non-interacting
WNT2B,0.215229314,Non-interacting
TRIM9,0.215314185,Interacting
RBP3,0.215439548,Non-interacting
TDRD6,0.216005954,Interacting
FBLL1,0.216563572,Non-interacting
PIKFYVE,0.216748535,Non-interacting
SLC35B3,0.216748535,Non-interacting
GAS6,0.217072001,Non-interacting
FOXM1,0.217185936,Non-interacting
EIF3L,0.217210062,Non-interacting
FATE1,0.217210062,Non-interacting
GJC2,0.217210062,Non-interacting
OR14A16,0.217210062,Non-interacting
RAD54L,0.217210062,Non-interacting
AK2,0.217373309,Non-interacting
MT-ND2,0.217389065,Non-interacting
EPHA10,0.217587493,Interacting
FAM214A,0.217587493,Non-interacting
RAB18,0.217587493,Interacting
UBE3B,0.217587493,Non-interacting
ZNHIT2,0.217587493,Interacting
SIRT5,0.21780013,Non-interacting
GLB1L,0.21780252,Non-interacting
CAMKK1,0.218022949,Interacting
ALDH16A1,0.218081469,Non-interacting
KRT23,0.21857352,Non-interacting
SLC6A17,0.218818673,Non-interacting
SMIM29,0.218871227,Non-interacting
CLEC4F,0.218945735,Interacting
SCGB1C1,0.218991315,Non-interacting
TYRO3,0.218991315,Interacting
GPS1,0.219073501,Non-interacting
GJA9,0.219100737,Non-interacting
KCNE2,0.219100737,Non-interacting
FAM135B,0.21910405,Non-interacting
BTBD11,0.219127791,Interacting
DTD2,0.219127791,Non-interacting
MB,0.21930243,Non-interacting
PVALB,0.21930243,Non-interacting
GLIPR1L1,0.219591683,Non-interacting
SUPV3L1,0.219591683,Non-interacting
OR10W1,0.219714975,Non-interacting
CLUAP1,0.219915402,Non-interacting
PNPLA6,0.220044892,Non-interacting
ATP2B4,0.220145063,Non-interacting
DCP1B,0.220172383,Non-interacting
EXOC5,0.220172383,Non-interacting
NR0B2,0.220239094,Interacting
SLAMF9,0.220244726,Interacting
GTPBP6,0.220344217,Non-interacting
KCTD5,0.220478978,Interacting
FAM71E2,0.2204822,Non-interacting
ZFYVE21,0.220523637,Non-interacting
P2RY8,0.220679293,Interacting
TRPV1,0.220679293,Interacting
PRIM1,0.220774667,Interacting
DDX25,0.220875298,Interacting
MICALCL,0.221221402,Non-interacting
TAF1B,0.221525295,Non-interacting
NCKIPSD,0.221654922,Interacting
IL2RG,0.222111098,Interacting
LRIT3,0.222112233,Non-interacting
BRD4,0.222137575,Interacting
OR51I1,0.222457853,Interacting
TBX4,0.222457853,Non-interacting
NOP58,0.22254865,Non-interacting
PROCR,0.222585426,Interacting
NABP1,0.222634904,Non-interacting
AOC2,0.222898457,Non-interacting
ART5,0.222924823,Non-interacting
CCDC62,0.222924823,Non-interacting
CNGB3,0.222924823,Non-interacting
CYB5R1,0.222924823,Non-interacting
IQSEC3,0.222924823,Non-interacting
PHGDH,0.222924823,Non-interacting
PMS2,0.222924823,Non-interacting
PRSS37,0.222924823,Non-interacting
NPHP4,0.222958983,Non-interacting
DPYS,0.22333246,Non-interacting
SLC7A5,0.223822928,Interacting
CBLN3,0.223950592,Non-interacting
FOSL2,0.224258497,Non-interacting
GCSAML,0.224258497,Non-interacting
IER5L,0.224270377,Non-interacting
C9orf129,0.224560222,Non-interacting
CHST3,0.224591934,Non-interacting
C5AR2,0.224597707,Non-interacting
FDXACB1,0.224597707,Interacting
TSEN2,0.22476806,Non-interacting
NICN1,0.224788662,Non-interacting
SLC17A5,0.224788662,Non-interacting
SLC25A22,0.225088516,Non-interacting
NR1D1,0.22513294,Non-interacting
MRPL23,0.225333988,Non-interacting
COG4,0.225488507,Non-interacting
OR51M1,0.225715697,Interacting
STRN4,0.225863271,Interacting
TMEM143,0.225863271,Non-interacting
ARHGEF39,0.225957029,Non-interacting
NRBP2,0.226269635,Interacting
DDX20,0.226417026,Interacting
HK2,0.226538732,Non-interacting
KCNA5,0.226538732,Interacting
CST4,0.226795634,Non-interacting
MRPL35,0.226856604,Non-interacting
UGT1A5,0.227671424,Non-interacting
IAH1,0.227885572,Non-interacting
RCOR2,0.228153267,Non-interacting
GP1BB,0.228159098,Non-interacting
ECHS1,0.228381447,Non-interacting
PJA1,0.228472224,Non-interacting
PTGS2,0.228582645,Interacting
SLC16A4,0.228605879,Non-interacting
PLAC9,0.228635279,Non-interacting
TEKT5,0.228635279,Non-interacting
WDR83,0.22914754,Non-interacting
PI4K2B,0.22938985,Non-interacting
DIO1,0.229611039,Non-interacting
CAPN12,0.229619584,Non-interacting
C16orf58,0.229813289,Non-interacting
LCN2,0.229919092,Interacting
GIPR,0.229976295,Non-interacting
CAMTA2,0.23031792,Interacting
KLHL1,0.23031792,Interacting
PRSS22,0.230897924,Interacting
PYROXD2,0.230998278,Non-interacting
TECRL,0.231068219,Interacting
SPAG4,0.231460077,Non-interacting
TET3,0.231557273,Non-interacting
PAPOLB,0.231565124,Non-interacting
MAP3K13,0.231662395,Interacting
TBC1D24,0.231904326,Non-interacting
TRMT1L,0.23192291,Non-interacting
ZNF185,0.231933405,Interacting
SP9,0.231995065,Non-interacting
GPX6,0.232011943,Non-interacting
FBXO45,0.232097176,Non-interacting
TBCD,0.232097176,Non-interacting
SPHKAP,0.232212383,Non-interacting
SNCG,0.232501664,Non-interacting
ITLN2,0.232661464,Non-interacting
BTBD7,0.233064595,Interacting
KDM4C,0.233145431,Interacting
SRCAP,0.233145431,Non-interacting
TAOK3,0.233188346,Interacting
ABLIM2,0.233391925,Interacting
DEPDC1,0.233391925,Non-interacting
TECTA,0.233391925,Non-interacting
KIF17,0.233446262,Non-interacting
FAXDC2,0.233670346,Non-interacting
NANOS1,0.233771365,Non-interacting
SLC16A7,0.233771365,Non-interacting
AVPR1A,0.233873943,Non-interacting
PTCH2,0.233873943,Non-interacting
SERINC1,0.23396346,Non-interacting
ABRAXAS2,0.23413882,Non-interacting
LTN1,0.234500514,Interacting
PACRGL,0.234500514,Non-interacting
ENTPD8,0.234571922,Non-interacting
ECH1,0.235127649,Non-interacting
OR1A2,0.235127649,Interacting
OS9,0.235127649,Non-interacting
FRAT2,0.235133887,Non-interacting
ATOH7,0.235278394,Non-interacting
KHNYN,0.235278394,Non-interacting
C5orf58,0.235996755,Non-interacting
TARBP1,0.235996755,Non-interacting
SMCP,0.236026627,Non-interacting
OR6X1,0.236320561,Non-interacting
ERCC3,0.236411867,Interacting
RIPOR3,0.236473683,Non-interacting
GLT8D2,0.236598749,Non-interacting
RAB27A,0.236598749,Interacting
TMEM202,0.236598749,Non-interacting
CNKSR2,0.236601016,Non-interacting
ACTL10,0.236725862,Interacting
METTL15,0.236725862,Non-interacting
PRKCD,0.236725862,Interacting
SCGB1A1,0.236725862,Interacting
INVS,0.236797477,Interacting
LCN8,0.236797477,Non-interacting
LMNTD2,0.236797477,Non-interacting
FAM83C,0.23679915,Non-interacting
LYPD4,0.23679915,Non-interacting
EXOSC2,0.236816859,Non-interacting
TRIML2,0.236898135,Non-interacting
FGF6,0.237128354,Interacting
C10orf105,0.237241464,Non-interacting
ADARB2,0.237259226,Interacting
TMEM231,0.237259226,Non-interacting
KRT77,0.237551857,Non-interacting
JAKMIP1,0.237552805,Non-interacting
TCTEX1D2,0.237552805,Non-interacting
GALP,0.23757896,Non-interacting
ME2,0.237581116,Non-interacting
PHOSPHO2,0.237581116,Non-interacting
TGFBR3,0.237709704,Non-interacting
MCC,0.237794269,Non-interacting
PCSK9,0.237794269,Interacting
TRPM4,0.237794269,Non-interacting
KCNJ13,0.237974438,Non-interacting
NCAN,0.237974531,Interacting
COQ10B,0.23803323,Non-interacting
STK11IP,0.238099947,Non-interacting
PHF21B,0.238117927,Non-interacting
HHATL,0.238165066,Non-interacting
KIAA1257,0.238195849,Non-interacting
CFL2,0.238340092,Non-interacting
C7orf43,0.238557034,Non-interacting
GLP2R,0.238557034,Non-interacting
PIK3C2G,0.238920937,Interacting
KIF16B,0.239299806,Non-interacting
BEND7,0.239518209,Non-interacting
C20orf24,0.239680764,Non-interacting
SCN8A,0.239968267,Non-interacting
C11orf16,0.240098529,Non-interacting
CRISP2,0.240098529,Non-interacting
DCST1,0.240098529,Non-interacting
FBXO43,0.240098529,Non-interacting
RASGRP3,0.240098529,Non-interacting
TTLL10,0.240098529,Non-interacting
EFCAB10,0.240148932,Non-interacting
MCM4,0.240148932,Non-interacting
SMC5,0.240272418,Non-interacting
WDR38,0.240273022,Non-interacting
HYAL2,0.240325927,Interacting
HPS4,0.240377968,Non-interacting
ZNRF3,0.240377968,Non-interacting
IL12RB1,0.240501315,Non-interacting
OR51V1,0.240561534,Interacting
INCA1,0.24056488,Non-interacting
CDH19,0.240981631,Non-interacting
NOL9,0.240981631,Non-interacting
ELP4,0.241044718,Non-interacting
SAMD3,0.241342723,Non-interacting
BLCAP,0.241442291,Non-interacting
DNAJA3,0.241442291,Interacting
LDOC1,0.241890687,Non-interacting
LOXL3,0.242064095,Non-interacting
ATPAF2,0.24207209,Non-interacting
GPER1,0.24207209,Non-interacting
ZNF439,0.24207209,Non-interacting
HINT2,0.242094973,Non-interacting
USP22,0.242118465,Non-interacting
C1QTNF7,0.242133202,Non-interacting
ZNF57,0.242175823,Non-interacting
PI4KA,0.242290651,Non-interacting
PHRF1,0.242384606,Non-interacting
RNF157,0.242678824,Non-interacting
IL11,0.242994413,Non-interacting
EEA1,0.243035674,Non-interacting
MAP4K4,0.243035674,Interacting
CHAC2,0.243042856,Non-interacting
SLC25A47,0.243042856,Non-interacting
TTLL11,0.243138425,Non-interacting
TCP11L2,0.243205111,Non-interacting
MOCS3,0.243275423,Non-interacting
OR8B4,0.243275423,Interacting
ESYT1,0.243374185,Non-interacting
RUFY1,0.243451038,Non-interacting
FOXG1,0.243467508,Non-interacting
RASEF,0.243858028,Interacting
C15orf41,0.243898699,Non-interacting
MMP20,0.24411953,Non-interacting
GRB2,0.244260348,Interacting
MYRF,0.244535807,Non-interacting
SH3TC2,0.244740737,Non-interacting
ZNF155,0.245056752,Interacting
DUS3L,0.2452053,Non-interacting
KRTAP4-2,0.245396179,Non-interacting
OR2G6,0.24622074,Non-interacting
UBXN8,0.24622074,Interacting
LRP10,0.246795557,Non-interacting
IFNB1,0.247065114,Non-interacting
MFAP2,0.247581249,Non-interacting
GHRH,0.24760379,Non-interacting
PLEKHG1,0.24760379,Non-interacting
PLEKHM1,0.24760379,Non-interacting
SSMEM1,0.247610319,Non-interacting
GDF15,0.247935092,Non-interacting
ABLIM3,0.248032932,Non-interacting
ZNF354C,0.248092778,Non-interacting
RER1,0.248386949,Non-interacting
SDHAF1,0.248498133,Non-interacting
QDPR,0.248599489,Non-interacting
DDX23,0.248825636,Interacting
MTHFR,0.248827551,Non-interacting
NSMF,0.249015663,Non-interacting
STX3,0.249021705,Interacting
ABCC12,0.249037285,Interacting
ASPHD2,0.249224292,Non-interacting
ANKRD16,0.249417562,Interacting
CCDC107,0.249417562,Non-interacting
GDF11,0.249417562,Non-interacting
COL18A1,0.249733425,Non-interacting
MAP4K3,0.249930228,Interacting
TMEM235,0.249930228,Non-interacting
ZNF484,0.249930228,Non-interacting
ZNF608,0.250227972,Non-interacting
TAS2R4,0.250231364,Non-interacting
TSHZ2,0.250475491,Non-interacting
MRPL52,0.250526933,Non-interacting
MAP1S,0.250561272,Non-interacting
POLR2F,0.25061976,Non-interacting
CD226,0.250758259,Interacting
SLC5A7,0.251035122,Non-interacting
ZNF736,0.251035122,Non-interacting
ZNF311,0.251059839,Non-interacting
HUS1,0.251232314,Non-interacting
ATF3,0.251494206,Non-interacting
EYA2,0.251648515,Non-interacting
WDR89,0.251674335,Non-interacting
ALOX15B,0.25170234,Non-interacting
EIF3D,0.251851668,Non-interacting
TMEM64,0.251886455,Non-interacting
GPR62,0.252043342,Non-interacting
RLN3,0.252043342,Non-interacting
SYNDIG1L,0.252043342,Non-interacting
BRD8,0.252662819,Interacting
DENND4C,0.252800648,Non-interacting
ZNF652,0.252846929,Non-interacting
RARG,0.252863996,Non-interacting
ATP6AP1,0.25295015,Non-interacting
RASGRF2,0.253032141,Non-interacting
DEPDC5,0.253148625,Non-interacting
NFKBIZ,0.253148625,Interacting
CBFA2T2,0.25321547,Non-interacting
JPT1,0.253442243,Non-interacting
SMARCA4,0.253468429,Interacting
COL9A1,0.254193065,Non-interacting
F11,0.254193065,Non-interacting
C8orf34,0.254532493,Non-interacting
DOHH,0.254732094,Non-interacting
GRIP2,0.254732094,Non-interacting
TCTN3,0.254732094,Non-interacting
MAGEB3,0.254889623,Non-interacting
CLCNKA,0.254892427,Non-interacting
KBTBD2,0.254892427,Interacting
POLD4,0.255204075,Non-interacting
TMEM221,0.255204075,Non-interacting
BPIFB4,0.255477835,Non-interacting
CMTR2,0.255581005,Non-interacting
ZNF622,0.255803934,Non-interacting
RAB10,0.255943404,Interacting
TMED4,0.255943404,Non-interacting
OR4N4,0.256124235,Non-interacting
RAD9B,0.256170025,Non-interacting
ERC2,0.256636484,Non-interacting
FAM83E,0.256636484,Non-interacting
SPO11,0.256636484,Interacting
KIAA0319L,0.256690881,Non-interacting
CHRNA6,0.256954421,Interacting
FAM86B1,0.256954421,Non-interacting
FAM86B2,0.256954421,Non-interacting
MYH3,0.257342239,Non-interacting
MCF2L,0.257974269,Interacting
OPN1MW,0.257974269,Non-interacting
B3GAT2,0.257984119,Non-interacting
TMEM230,0.258091438,Non-interacting
PRPF38B,0.258604994,Non-interacting
SAPCD2,0.258710245,Non-interacting
MAGEA10,0.258718761,Non-interacting
CLEC18C,0.258769573,Interacting
DHRS9,0.258901572,Interacting
OR1A1,0.259301982,Non-interacting
FAM213A,0.259365379,Non-interacting
LCE2A,0.259365379,Non-interacting
TEX9,0.259365379,Non-interacting
NET1,0.259411933,Non-interacting
REG4,0.259514003,Interacting
KRTAP7-1,0.259549414,Non-interacting
ENO4,0.25955585,Non-interacting
VPS16,0.259813017,Non-interacting
OR10AG1,0.259959353,Non-interacting
FANCL,0.259979471,Non-interacting
CD7,0.260365067,Interacting
METTL13,0.260365067,Non-interacting
OR2Z1,0.260365067,Interacting
FAM167B,0.260758759,Non-interacting
FUT10,0.260758759,Non-interacting
ERAP2,0.261221948,Non-interacting
SLC22A17,0.261227141,Non-interacting
CPSF3,0.261471579,Non-interacting
PRB1,0.26183494,Non-interacting
MGST1,0.261875438,Non-interacting
CERS2,0.261881244,Interacting
PCDHGC3,0.262093862,Non-interacting
PDCL,0.262093862,Non-interacting
TIMM23B,0.262093862,Non-interacting
FAM26D,0.262127306,Non-interacting
LYSMD1,0.26213379,Non-interacting
LRFN1,0.262321673,Interacting
ATCAY,0.262355545,Non-interacting
CYP2S1,0.26242885,Non-interacting
OR10K1,0.263249028,Non-interacting
MRAP,0.263315674,Non-interacting
DLGAP1,0.263319076,Interacting
LAMA4,0.263340153,Non-interacting
OR2T1,0.263340153,Non-interacting
PDCD4,0.263340153,Interacting
ZNF302,0.263340153,Non-interacting
ZNF624,0.263340153,Non-interacting
KRT40,0.263680252,Non-interacting
GPR176,0.263845914,Non-interacting
NMT2,0.263985594,Non-interacting
LDLRAP1,0.264312937,Non-interacting
RPA2,0.264312937,Non-interacting
VPS37B,0.264312937,Non-interacting
PPP1R21,0.264415264,Non-interacting
SLCO5A1,0.264420881,Non-interacting
ZDHHC14,0.264443526,Non-interacting
PCOLCE,0.265017497,Non-interacting
EPHB4,0.265395148,Interacting
C1orf106,0.26544136,Non-interacting
CCDC114,0.265732051,Non-interacting
ODF3,0.265998682,Non-interacting
PIWIL2,0.266066342,Non-interacting
ADCK2,0.266259522,Interacting
ZBED9,0.266489291,Interacting
TDRD9,0.26683395,Interacting
APOBEC4,0.267053495,Non-interacting
CLRN3,0.267196113,Non-interacting
TRA2B,0.267303017,Non-interacting
ACSM3,0.267642298,Non-interacting
GPR35,0.267657199,Non-interacting
CDR2L,0.267842939,Non-interacting
MTDH,0.268002063,Non-interacting
DPF2,0.268056846,Non-interacting
TRIB2,0.268224495,Interacting
B3GNT7,0.26826679,Non-interacting
C4orf32,0.268902963,Non-interacting
MED12L,0.268923143,Non-interacting
TGM7,0.269003309,Non-interacting
KCTD4,0.269152273,Interacting
CLPSL2,0.269350946,Non-interacting
EPS8,0.269350946,Non-interacting
ITGB1BP1,0.269350946,Non-interacting
TYW1,0.26958669,Non-interacting
OR2J1,0.269668106,Interacting
CHTF18,0.269745914,Interacting
SERPINB9,0.269790279,Interacting
PRPF38A,0.269977831,Non-interacting
GALM,0.270156016,Non-interacting
PAK1IP1,0.270187888,Non-interacting
C16orf70,0.270438359,Non-interacting
TAF6,0.270438359,Interacting
CALB1,0.270874867,Non-interacting
ATAT1,0.270913995,Non-interacting
CHST8,0.270960513,Non-interacting
SLC4A9,0.270960513,Non-interacting
RPP21,0.271005091,Non-interacting
TIMM10,0.271235995,Non-interacting
CERS6,0.271299814,Non-interacting
PATE4,0.272212122,Non-interacting
BBS10,0.272246946,Non-interacting
NPVF,0.272255325,Non-interacting
LRRC53,0.272521324,Non-interacting
NENF,0.272538227,Non-interacting
ADCY7,0.272812665,Non-interacting
NOX3,0.272911383,Non-interacting
CBLN2,0.273019588,Non-interacting
PCDH1,0.273184143,Non-interacting
BTD,0.273905521,Non-interacting
TXNDC11,0.273905521,Non-interacting
ANAPC16,0.274043699,Non-interacting
FXYD1,0.274183973,Non-interacting
CCR6,0.274314694,Non-interacting
MARVELD2,0.274540365,Interacting
OR4N2,0.274540365,Non-interacting
FSD2,0.27462297,Non-interacting
GPRIN1,0.274845953,Non-interacting
MAD1L1,0.274970526,Non-interacting
SCAMP1,0.275185783,Non-interacting
SUZ12,0.275230478,Non-interacting
FOXA3,0.275437092,Non-interacting
RAMP2,0.275437092,Interacting
NCAPH2,0.275745107,Non-interacting
NPAT,0.275745107,Non-interacting
PTX3,0.275745107,Non-interacting
NPS,0.275971389,Non-interacting
GALR1,0.276174386,Non-interacting
HMX3,0.276174386,Interacting
PUS7L,0.276174386,Non-interacting
UBAP1,0.2762703,Non-interacting
FBXW7,0.276420561,Interacting
KMT2A,0.276420561,Interacting
GALNT16,0.276462065,Non-interacting
OR11H6,0.276462065,Interacting
OR4Q2,0.276462065,Non-interacting
ST14,0.276508657,Interacting
ZNF845,0.276508657,Non-interacting
CARS2,0.276728089,Non-interacting
DAB1,0.276728089,Non-interacting
TAAR2,0.276728089,Non-interacting
ANKRD50,0.277018527,Interacting
CD40LG,0.277018527,Interacting
IMP4,0.277179148,Non-interacting
NCF2,0.277179148,Interacting
ARL10,0.277192841,Non-interacting
TRIM72,0.277213624,Interacting
TMEM267,0.277326377,Non-interacting
FAM24A,0.27739205,Non-interacting
ATP13A3,0.277798073,Non-interacting
ABCA4,0.277915644,Non-interacting
NUP160,0.278110918,Non-interacting
GRXCR2,0.278177424,Non-interacting
UGGT1,0.278177424,Non-interacting
TPCN2,0.278285177,Non-interacting
FASLG,0.278447209,Interacting
TPBGL,0.278552052,Non-interacting
ZNF682,0.278604219,Non-interacting
FHIT,0.278664393,Non-interacting
KYAT3,0.278786102,Non-interacting
RAB11FIP2,0.278786102,Non-interacting
CLDN2,0.27905735,Non-interacting
ZNF280A,0.27905735,Non-interacting
ZNF521,0.27905735,Non-interacting
ZSCAN5C,0.27905735,Non-interacting
ADAMTS9,0.279138509,Non-interacting
ZSCAN1,0.279138509,Non-interacting
SFXN2,0.279145247,Non-interacting
AKR7L,0.279351901,Non-interacting
ALG2,0.279351901,Non-interacting
DDX42,0.279351901,Interacting
MRM3,0.279351901,Non-interacting
ABI3BP,0.279420726,Non-interacting
AMOTL2,0.279420726,Non-interacting
SLFNL1,0.279420726,Non-interacting
NKX3-2,0.279518512,Non-interacting
RTN2,0.279666164,Non-interacting
PRRG4,0.279779883,Non-interacting
OR4D6,0.28013188,Non-interacting
TMEM54,0.28013188,Non-interacting
TRIM24,0.28013188,Interacting
THRAP3,0.280216997,Non-interacting
ZNF561,0.280357527,Non-interacting
ZNF597,0.280357527,Non-interacting
SURF1,0.280386152,Non-interacting
CLEC4C,0.280621737,Interacting
STRN,0.280621737,Non-interacting
ZNF250,0.281051383,Non-interacting
KLK9,0.281287788,Interacting
DNM3,0.281521064,Interacting
MUTYH,0.281521064,Non-interacting
INHBB,0.281649739,Non-interacting
KRT26,0.281777905,Non-interacting
CDKL1,0.282087954,Interacting
SCAF11,0.283087695,Non-interacting
DDX59,0.283147053,Interacting
CNTN5,0.283241081,Interacting
ERP29,0.283241081,Non-interacting
MYF5,0.283706058,Non-interacting
ZNF823,0.283706058,Interacting
CHAC1,0.283754956,Non-interacting
LRRC23,0.283754956,Non-interacting
TGM2,0.283754956,Non-interacting
PAFAH2,0.283985929,Non-interacting
DYNLRB2,0.284024049,Non-interacting
ZNF445,0.284024049,Interacting
JDP2,0.284200054,Non-interacting
L3MBTL2,0.284239218,Non-interacting
BBS9,0.284387988,Non-interacting
PNMA5,0.284387988,Non-interacting
CDK3,0.284497106,Interacting
TRAM1L1,0.284497106,Non-interacting
ZNF805,0.284497106,Interacting
PCOLCE2,0.284835896,Non-interacting
POC5,0.284835896,Non-interacting
TMEM241,0.284886842,Non-interacting
OR10AD1,0.284996479,Interacting
CDC40,0.285036461,Non-interacting
MECR,0.285036461,Non-interacting
PM20D2,0.285036461,Non-interacting
APOPT1,0.285039417,Non-interacting
PDCD1,0.285040502,Interacting
TACR3,0.285044625,Interacting
GAS8,0.285337993,Non-interacting
AATF,0.285423452,Non-interacting
OR52K1,0.285423452,Interacting
GLYCTK,0.285765114,Non-interacting
MIF4GD,0.285765114,Non-interacting
SLC18A1,0.285765114,Non-interacting
TMEM38A,0.285765114,Non-interacting
VHL,0.285765114,Interacting
PRTN3,0.285836322,Interacting
C7orf77,0.285885111,Non-interacting
AMPD1,0.286093197,Non-interacting
CALML4,0.286093197,Non-interacting
HDHD5,0.286115804,Non-interacting
CTLA4,0.28620952,Interacting
C9orf85,0.286362655,Non-interacting
DCAF12L1,0.286473246,Non-interacting
TSPO2,0.286473246,Non-interacting
DHRS7,0.286507194,Interacting
WASHC4,0.286518066,Non-interacting
TRPC4AP,0.286709237,Non-interacting
SBK2,0.287082721,Interacting
KDM1A,0.287194799,Interacting
CLEC19A,0.287261905,Non-interacting
TEX28,0.287525012,Non-interacting
ZNF423,0.287763596,Interacting
INSRR,0.287879688,Interacting
WDR3,0.287930823,Non-interacting
ZNF483,0.288116651,Interacting
POLR3GL,0.288143207,Non-interacting
ZNF181,0.288143207,Non-interacting
LCMT2,0.288149387,Interacting
OR56B1,0.288358317,Non-interacting
SAXO2,0.288479851,Non-interacting
ZNF707,0.288479851,Non-interacting
VSIG4,0.288492482,Interacting
HSD11B2,0.2886278,Interacting
TSPAN7,0.288914327,Non-interacting
VGF,0.289243276,Non-interacting
ZSCAN30,0.289360066,Interacting
ZDHHC22,0.289419228,Non-interacting
POLK,0.289670161,Non-interacting
HRCT1,0.289823047,Non-interacting
PRCP,0.290145797,Non-interacting
MKL2,0.290186977,Non-interacting
OR4D9,0.290186977,Interacting
FREM2,0.290235051,Non-interacting
SLC34A2,0.290363606,Non-interacting
RMND1,0.290377793,Non-interacting
TRIM10,0.290377793,Interacting
KMT5C,0.290476358,Interacting
SPDYE4,0.290476358,Non-interacting
FURIN,0.290488183,Non-interacting
RUNX3,0.290695609,Non-interacting
FRRS1,0.290696505,Non-interacting
CHURC1,0.290848924,Non-interacting
SSTR1,0.29096956,Interacting
PPM1J,0.29108738,Non-interacting
SELE,0.29115491,Interacting
IRX6,0.291610084,Non-interacting
TYK2,0.291610084,Interacting
GBX2,0.291924947,Interacting
RAB28,0.291937918,Non-interacting
SNX9,0.292082076,Interacting
WWC2,0.292082076,Non-interacting
PRRC2B,0.292325601,Non-interacting
SETD1B,0.292325601,Interacting
FAM124A,0.292610229,Non-interacting
LMBR1,0.292691756,Non-interacting
NETO1,0.293036348,Non-interacting
PPIL6,0.293185049,Interacting
C6orf62,0.293276387,Non-interacting
TOX,0.293478384,Non-interacting
TMEM61,0.293694181,Non-interacting
DHCR24,0.293952418,Non-interacting
CISD1,0.294078689,Non-interacting
MYO1C,0.294104694,Non-interacting
SIRPB2,0.294297403,Interacting
SCNN1G,0.294498594,Non-interacting
ICA1,0.294584308,Non-interacting
IGFL3,0.294817011,Non-interacting
SLC6A4,0.295123948,Non-interacting
HEMK1,0.295163815,Non-interacting
ISM1,0.295163815,Non-interacting
KYNU,0.295349695,Non-interacting
SLC10A5,0.295353098,Non-interacting
ALKAL2,0.295413916,Non-interacting
DGAT1,0.29581039,Non-interacting
ALPI,0.295960326,Non-interacting
BLOC1S4,0.296650886,Non-interacting
STPG1,0.296650886,Non-interacting
GIMAP6,0.296965363,Non-interacting
SEMA6B,0.297052369,Non-interacting
IL6R,0.297246453,Non-interacting
PIK3AP1,0.297544803,Interacting
DEPDC4,0.297820955,Non-interacting
ODF3L1,0.297844924,Non-interacting
DHDDS,0.298200558,Non-interacting
RP2,0.298200558,Non-interacting
HINT3,0.298419831,Non-interacting
LRRC43,0.298566098,Non-interacting
TKTL1,0.298758791,Non-interacting
CARMIL1,0.299236184,Non-interacting
PRRX1,0.299594972,Interacting
SMARCAL1,0.299594972,Interacting
NEIL1,0.29970876,Non-interacting
ALKBH4,0.300110085,Non-interacting
ATF2,0.300140787,Non-interacting
PDE6H,0.300204689,Non-interacting
ZNF813,0.300204689,Non-interacting
DOCK3,0.300341826,Interacting
OC90,0.300341826,Interacting
NOC4L,0.30044619,Non-interacting
NEK3,0.300850646,Interacting
KCNJ12,0.30093263,Non-interacting
BRS3,0.301153902,Non-interacting
SNX19,0.301153902,Non-interacting
CASTOR2,0.301194887,Non-interacting
GATSL1,0.301194887,Non-interacting
IL7,0.301194887,Non-interacting
PACS2,0.301223067,Non-interacting
MSRB2,0.30123679,Non-interacting
DCAF8L2,0.301382301,Non-interacting
GNB1L,0.301382301,Non-interacting
AQP3,0.301426712,Non-interacting
PIK3R4,0.301699168,Interacting
ZNF536,0.301812268,Non-interacting
TTC6,0.301816723,Interacting
GLTPD2,0.302080976,Non-interacting
EPM2AIP1,0.302297072,Non-interacting
FAM167A,0.302297072,Non-interacting
AKIRIN1,0.302701047,Non-interacting
CHST9,0.302852984,Non-interacting
PRKD2,0.302852984,Interacting
ANLN,0.303403037,Non-interacting
SAMM50,0.303403037,Non-interacting
TGM4,0.303484355,Non-interacting
SRP68,0.30350891,Non-interacting
TWISTNB,0.303875896,Non-interacting
PABPC1L,0.305407161,Non-interacting
TGDS,0.305614812,Interacting
NUDT12,0.305766475,Interacting
PLAC1,0.305766475,Non-interacting
ROR1,0.305766475,Interacting
ROR2,0.305766475,Interacting
HSD17B11,0.305778312,Non-interacting
NR2E3,0.30581779,Non-interacting
OR5J2,0.305851774,Non-interacting
MAOB,0.30587821,Non-interacting
ASAP3,0.305911422,Interacting
SH3KBP1,0.305911422,Interacting
MCRIP2,0.305978017,Non-interacting
FBN3,0.30599894,Non-interacting
ASPHD1,0.306048156,Non-interacting
UVSSA,0.306265992,Non-interacting
NEUROG3,0.306370595,Non-interacting
